,key,PrimaryRef,CarniBinom,PreyOrder,PreyBinom,CD.values,Valid.values,Difference,Re-entered_Full,Potential explanation,Re-entered,Correct explanation
112,"Hidalgo-Mihart, M. G., Cant∑-Salazar, L., L?pez-Gonzﬂlez, C. A., Mart?nez-Meyer, E., & Gonzﬂlez-Romero, A. (2001). Coyote (Canis latrans) food habits in a tropical deciduous forest of western Mexico.·The American Midland Naturalist,·146(1), 210-216. Canis_latrans Osgoodomys_banderanus","Hidalgo-Mihart, M. G., Cant∑-Salazar, L., L?pez-Gonzﬂlez, C. A., Mart?nez-Meyer, E., & Gonzﬂlez-Romero, A. (2001). Coyote (Canis latrans) food habits in a tropical deciduous forest of western Mexico.·The American Midland Naturalist,·146(1), 210-216.",Canis_latrans,Rodentia,Osgoodomys_banderanus,14,NA,NA,,,,
113,"Hidalgo-Mihart, M. G., Cant∑-Salazar, L., L?pez-Gonzﬂlez, C. A., Mart?nez-Meyer, E., & Gonzﬂlez-Romero, A. (2001). Coyote (Canis latrans) food habits in a tropical deciduous forest of western Mexico.·The American Midland Naturalist,·146(1), 210-216. Canis_latrans Peromyscus_perfulvus","Hidalgo-Mihart, M. G., Cant∑-Salazar, L., L?pez-Gonzﬂlez, C. A., Mart?nez-Meyer, E., & Gonzﬂlez-Romero, A. (2001). Coyote (Canis latrans) food habits in a tropical deciduous forest of western Mexico.·The American Midland Naturalist,·146(1), 210-216.",Canis_latrans,Rodentia,Peromyscus_perfulvus,14.7,NA,NA,,,,
114,"Hidalgo-Mihart, M. G., Cant∑-Salazar, L., L?pez-Gonzﬂlez, C. A., Mart?nez-Meyer, E., & Gonzﬂlez-Romero, A. (2001). Coyote (Canis latrans) food habits in a tropical deciduous forest of western Mexico.·The American Midland Naturalist,·146(1), 210-216. Canis_latrans Reithrodontomys_fulvescens","Hidalgo-Mihart, M. G., Cant∑-Salazar, L., L?pez-Gonzﬂlez, C. A., Mart?nez-Meyer, E., & Gonzﬂlez-Romero, A. (2001). Coyote (Canis latrans) food habits in a tropical deciduous forest of western Mexico.·The American Midland Naturalist,·146(1), 210-216.",Canis_latrans,Rodentia,Reithrodontomys_fulvescens,14.7,NA,NA,,,,
115,"Hidalgo-Mihart, M. G., Cant∑-Salazar, L., L?pez-Gonzﬂlez, C. A., Mart?nez-Meyer, E., & Gonzﬂlez-Romero, A. (2001). Coyote (Canis latrans) food habits in a tropical deciduous forest of western Mexico.·The American Midland Naturalist,·146(1), 210-216. Canis_latrans Sigmodon_mascotensis","Hidalgo-Mihart, M. G., Cant∑-Salazar, L., L?pez-Gonzﬂlez, C. A., Mart?nez-Meyer, E., & Gonzﬂlez-Romero, A. (2001). Coyote (Canis latrans) food habits in a tropical deciduous forest of western Mexico.·The American Midland Naturalist,·146(1), 210-216.",Canis_latrans,Rodentia,Sigmodon_mascotensis,207.8,156.9,50.9,311.9,Only recorded frequency of occurrence.,207.8,Yes
116,"Johnson, K. G., W. Wang, D. G. Reid, and J. C. Hu. 1993. Food-Habits of Asiatic Leopards (Panthera-Pardus Fusea) in Wolong Reserve, Sichuan, China. Journal of Mammalogy 74:646-650. Panthera_pardus Ailurus_fulgens","Johnson, K. G., W. Wang, D. G. Reid, and J. C. Hu. 1993. Food-Habits of Asiatic Leopards (Panthera-Pardus Fusea) in Wolong Reserve, Sichuan, China. Journal of Mammalogy 74:646-650.",Panthera_pardus,Carnivora,Ailurus_fulgens,3.2,3.2,0,3.2,,,
117,"Johnson, K. G., W. Wang, D. G. Reid, and J. C. Hu. 1993. Food-Habits of Asiatic Leopards (Panthera-Pardus Fusea) in Wolong Reserve, Sichuan, China. Journal of Mammalogy 74:646-650. Panthera_pardus Arctonyx_collaris","Johnson, K. G., W. Wang, D. G. Reid, and J. C. Hu. 1993. Food-Habits of Asiatic Leopards (Panthera-Pardus Fusea) in Wolong Reserve, Sichuan, China. Journal of Mammalogy 74:646-650.",Panthera_pardus,Carnivora,Arctonyx_collaris,4.1,4.4,-0.3,4.2,Unsure,,
118,"Johnson, K. G., W. Wang, D. G. Reid, and J. C. Hu. 1993. Food-Habits of Asiatic Leopards (Panthera-Pardus Fusea) in Wolong Reserve, Sichuan, China. Journal of Mammalogy 74:646-650. Panthera_pardus Budorcas_taxicolor","Johnson, K. G., W. Wang, D. G. Reid, and J. C. Hu. 1993. Food-Habits of Asiatic Leopards (Panthera-Pardus Fusea) in Wolong Reserve, Sichuan, China. Journal of Mammalogy 74:646-650.",Panthera_pardus,Cetartiodactyla,Budorcas_taxicolor,8.1,7,1.1,7,Unsure,,
119,"Johnson, K. G., W. Wang, D. G. Reid, and J. C. Hu. 1993. Food-Habits of Asiatic Leopards (Panthera-Pardus Fusea) in Wolong Reserve, Sichuan, China. Journal of Mammalogy 74:646-650. Panthera_pardus Capricornis_sumatraensis","Johnson, K. G., W. Wang, D. G. Reid, and J. C. Hu. 1993. Food-Habits of Asiatic Leopards (Panthera-Pardus Fusea) in Wolong Reserve, Sichuan, China. Journal of Mammalogy 74:646-650.",Panthera_pardus,Cetartiodactyla,Capricornis_sumatraensis,2.4,NA,NA,6.5,,,
120,"Johnson, K. G., W. Wang, D. G. Reid, and J. C. Hu. 1993. Food-Habits of Asiatic Leopards (Panthera-Pardus Fusea) in Wolong Reserve, Sichuan, China. Journal of Mammalogy 74:646-650. Panthera_pardus Elaphodus_cephalophus","Johnson, K. G., W. Wang, D. G. Reid, and J. C. Hu. 1993. Food-Habits of Asiatic Leopards (Panthera-Pardus Fusea) in Wolong Reserve, Sichuan, China. Journal of Mammalogy 74:646-650.",Panthera_pardus,Cetartiodactyla,Elaphodus_cephalophus,86.6,130.7,-44.1,130.7,Unsure,,
121,"Johnson, K. G., W. Wang, D. G. Reid, and J. C. Hu. 1993. Food-Habits of Asiatic Leopards (Panthera-Pardus Fusea) in Wolong Reserve, Sichuan, China. Journal of Mammalogy 74:646-650. Panthera_pardus Hystrix_hodgsoni","Johnson, K. G., W. Wang, D. G. Reid, and J. C. Hu. 1993. Food-Habits of Asiatic Leopards (Panthera-Pardus Fusea) in Wolong Reserve, Sichuan, China. Journal of Mammalogy 74:646-650.",Panthera_pardus,Rodentia,Hystrix_hodgsoni,4.8,4.8,0,4.8,,,
122,"Johnson, K. G., W. Wang, D. G. Reid, and J. C. Hu. 1993. Food-Habits of Asiatic Leopards (Panthera-Pardus Fusea) in Wolong Reserve, Sichuan, China. Journal of Mammalogy 74:646-650. Panthera_pardus Moschus_berezovskii","Johnson, K. G., W. Wang, D. G. Reid, and J. C. Hu. 1993. Food-Habits of Asiatic Leopards (Panthera-Pardus Fusea) in Wolong Reserve, Sichuan, China. Journal of Mammalogy 74:646-650.",Panthera_pardus,Cetartiodactyla,Moschus_berezovskii,32,30.6,1.4,30.6,Unsure,,
123,"Johnson, K. G., W. Wang, D. G. Reid, and J. C. Hu. 1993. Food-Habits of Asiatic Leopards (Panthera-Pardus Fusea) in Wolong Reserve, Sichuan, China. Journal of Mammalogy 74:646-650. Panthera_pardus Naemorhedus_goral","Johnson, K. G., W. Wang, D. G. Reid, and J. C. Hu. 1993. Food-Habits of Asiatic Leopards (Panthera-Pardus Fusea) in Wolong Reserve, Sichuan, China. Journal of Mammalogy 74:646-650.",Panthera_pardus,Cetartiodactyla,Naemorhedus_goral,1.8,1.6,0.2,1.6,Unsure,,
124,"Johnson, K. G., W. Wang, D. G. Reid, and J. C. Hu. 1993. Food-Habits of Asiatic Leopards (Panthera-Pardus Fusea) in Wolong Reserve, Sichuan, China. Journal of Mammalogy 74:646-650. Panthera_pardus Ochotona_thibetana","Johnson, K. G., W. Wang, D. G. Reid, and J. C. Hu. 1993. Food-Habits of Asiatic Leopards (Panthera-Pardus Fusea) in Wolong Reserve, Sichuan, China. Journal of Mammalogy 74:646-650.",Panthera_pardus,Lagomorpha,Ochotona_thibetana,8.1,7,1.1,7,Unsure,,
125,"Johnson, K. G., W. Wang, D. G. Reid, and J. C. Hu. 1993. Food-Habits of Asiatic Leopards (Panthera-Pardus Fusea) in Wolong Reserve, Sichuan, China. Journal of Mammalogy 74:646-650. Panthera_pardus Rhizomys_sinensis","Johnson, K. G., W. Wang, D. G. Reid, and J. C. Hu. 1993. Food-Habits of Asiatic Leopards (Panthera-Pardus Fusea) in Wolong Reserve, Sichuan, China. Journal of Mammalogy 74:646-650.",Panthera_pardus,Rodentia,Rhizomys_sinensis,89.5,NA,NA,89.5,,,
126,"Johnson, K. G., W. Wang, D. G. Reid, and J. C. Hu. 1993. Food-Habits of Asiatic Leopards (Panthera-Pardus Fusea) in Wolong Reserve, Sichuan, China. Journal of Mammalogy 74:646-650. Panthera_pardus Rusa_unicolor","Johnson, K. G., W. Wang, D. G. Reid, and J. C. Hu. 1993. Food-Habits of Asiatic Leopards (Panthera-Pardus Fusea) in Wolong Reserve, Sichuan, China. Journal of Mammalogy 74:646-650.",Panthera_pardus,Cetartiodactyla,Rusa_unicolor,2,2.1,-0.1,2.1,Unsure,,
127,"Johnson, K. G., W. Wang, D. G. Reid, and J. C. Hu. 1993. Food-Habits of Asiatic Leopards (Panthera-Pardus Fusea) in Wolong Reserve, Sichuan, China. Journal of Mammalogy 74:646-650. Panthera_pardus Sus_scrofa","Johnson, K. G., W. Wang, D. G. Reid, and J. C. Hu. 1993. Food-Habits of Asiatic Leopards (Panthera-Pardus Fusea) in Wolong Reserve, Sichuan, China. Journal of Mammalogy 74:646-650.",Panthera_pardus,Cetartiodactyla,Sus_scrofa,4.7,4,0.7,4,Unsure,,
128,"Johnson, K. G., W. Wang, D. G. Reid, and J. C. Hu. 1993. Food-Habits of Asiatic Leopards (Panthera-Pardus Fusea) in Wolong Reserve, Sichuan, China. Journal of Mammalogy 74:646-650. Panthera_pardus Trogopterus_xanthipes","Johnson, K. G., W. Wang, D. G. Reid, and J. C. Hu. 1993. Food-Habits of Asiatic Leopards (Panthera-Pardus Fusea) in Wolong Reserve, Sichuan, China. Journal of Mammalogy 74:646-650.",Panthera_pardus,Rodentia,Trogopterus_xanthipes,0.5,NA,NA,1.1,Only one year recorded,0.5,Yes
129,"Lanszki, J?zsef, et al. ""Feeding habits and trophic niche overlap in a Carnivora community of Hungary.""·Acta Theriologica·44.4 (1999): 429-442. Martes_foina Myodes_glareolus","Lanszki, J?zsef, et al. ""Feeding habits and trophic niche overlap in a Carnivora community of Hungary.""·Acta Theriologica·44.4 (1999): 429-442.",Martes_foina,Rodentia,Myodes_glareolus,27.6,27.6,0,,,,
130,"Lanszki, J?zsef, et al. ""Feeding habits and trophic niche overlap in a Carnivora community of Hungary.""·Acta Theriologica·44.4 (1999): 429-442. Vulpes_vulpes Myodes_glareolus","Lanszki, J?zsef, et al. ""Feeding habits and trophic niche overlap in a Carnivora community of Hungary.""·Acta Theriologica·44.4 (1999): 429-442.",Vulpes_vulpes,Rodentia,Myodes_glareolus,20,20,0,,,,
131,"Lovari, Sandro, and Emiliano Mori. ""Seasonal food habits of the endangered Indochinese leopard Panthera pardus delacouri in a protected area of North West Thailand.""†Folia Zoologica†66.4 (2017): 242-248. Panthera_pardus Hyelaphus_annamiticus","Lovari, Sandro, and Emiliano Mori. ""Seasonal food habits of the endangered Indochinese leopard Panthera pardus delacouri in a protected area of North West Thailand.""†Folia Zoologica†66.4 (2017): 242-248.",Panthera_pardus,Cetartiodactyla,Hyelaphus_annamiticus,18.5,37.4,-18.9,18.5,CarniDIET is correct.,,
132,"Lovari, Sandro, and Emiliano Mori. ""Seasonal food habits of the endangered Indochinese leopard Panthera pardus delacouri in a protected area of North West Thailand.""†Folia Zoologica†66.4 (2017): 242-248. Panthera_pardus Hystrix_brachyura","Lovari, Sandro, and Emiliano Mori. ""Seasonal food habits of the endangered Indochinese leopard Panthera pardus delacouri in a protected area of North West Thailand.""†Folia Zoologica†66.4 (2017): 242-248.",Panthera_pardus,Rodentia,Hystrix_brachyura,35.5,82.9,-47.4,35.5,CarniDIET is correct.,,
133,"Lovari, Sandro, and Emiliano Mori. ""Seasonal food habits of the endangered Indochinese leopard Panthera pardus delacouri in a protected area of North West Thailand.""†Folia Zoologica†66.4 (2017): 242-248. Panthera_pardus Muntiacus_muntjak","Lovari, Sandro, and Emiliano Mori. ""Seasonal food habits of the endangered Indochinese leopard Panthera pardus delacouri in a protected area of North West Thailand.""†Folia Zoologica†66.4 (2017): 242-248.",Panthera_pardus,Cetartiodactyla,Muntiacus_muntjak,283.1,660.6,-377.5,283.1,CarniDIET is correct.,,
134,"Lovari, Sandro, and Emiliano Mori. ""Seasonal food habits of the endangered Indochinese leopard Panthera pardus delacouri in a protected area of North West Thailand.""†Folia Zoologica†66.4 (2017): 242-248. Panthera_pardus Naemorhedus_griseus","Lovari, Sandro, and Emiliano Mori. ""Seasonal food habits of the endangered Indochinese leopard Panthera pardus delacouri in a protected area of North West Thailand.""†Folia Zoologica†66.4 (2017): 242-248.",Panthera_pardus,Cetartiodactyla,Naemorhedus_griseus,53.8,119.2,-65.4,53.8,CarniDIET is correct.,,
135,"Lovari, Sandro, and Emiliano Mori. ""Seasonal food habits of the endangered Indochinese leopard Panthera pardus delacouri in a protected area of North West Thailand.""†Folia Zoologica†66.4 (2017): 242-248. Panthera_pardus Sus_scrofa","Lovari, Sandro, and Emiliano Mori. ""Seasonal food habits of the endangered Indochinese leopard Panthera pardus delacouri in a protected area of North West Thailand.""†Folia Zoologica†66.4 (2017): 242-248.",Panthera_pardus,Cetartiodactyla,Sus_scrofa,175.7,409,-233.3,175.7,CarniDIET is correct.,,
136,"Lovari, Sandro, and Emiliano Mori. ""Seasonal food habits of the endangered Indochinese leopard Panthera pardus delacouri in a protected area of North West Thailand.""†Folia Zoologica†66.4 (2017): 242-248. Panthera_pardus Trachypithecus_obscurus","Lovari, Sandro, and Emiliano Mori. ""Seasonal food habits of the endangered Indochinese leopard Panthera pardus delacouri in a protected area of North West Thailand.""†Folia Zoologica†66.4 (2017): 242-248.",Panthera_pardus,Primates,Trachypithecus_obscurus,51.9,120.3,-68.4,51.9,CarniDIET is correct.,,
137,"Maehr, D. S., R. C. Belden, E. D. Land, and L. Wilkins. 1990. Food habits of panthers in southwest Florida. J. Wildl. Mgmt. 54:420-423 Puma_concolor Dasypus_novemcinctus","Maehr, D. S., R. C. Belden, E. D. Land, and L. Wilkins. 1990. Food habits of panthers in southwest Florida. J. Wildl. Mgmt. 54:420-423",Puma_concolor,Cingulata,Dasypus_novemcinctus,8,NA,NA,64,Only frequency of occurrence recorded.,8,Yes
138,"Maehr, D. S., R. C. Belden, E. D. Land, and L. Wilkins. 1990. Food habits of panthers in southwest Florida. J. Wildl. Mgmt. 54:420-423 Puma_concolor Odocoileus_virginianus","Maehr, D. S., R. C. Belden, E. D. Land, and L. Wilkins. 1990. Food habits of panthers in southwest Florida. J. Wildl. Mgmt. 54:420-423",Puma_concolor,Cetartiodactyla,Odocoileus_virginianus,28,124,-96,98.4,Only frequency of occurrence recorded.,28,Yes
139,"Maehr, D. S., R. C. Belden, E. D. Land, and L. Wilkins. 1990. Food habits of panthers in southwest Florida. J. Wildl. Mgmt. 54:420-423 Puma_concolor Procyon_lotor","Maehr, D. S., R. C. Belden, E. D. Land, and L. Wilkins. 1990. Food habits of panthers in southwest Florida. J. Wildl. Mgmt. 54:420-423",Puma_concolor,Carnivora,Procyon_lotor,12,70,-58,34,Only frequency of occurrence recorded.,12,Yes
140,"Maehr, D. S., R. C. Belden, E. D. Land, and L. Wilkins. 1990. Food habits of panthers in southwest Florida. J. Wildl. Mgmt. 54:420-423 Puma_concolor Sigmodon_hispidus","Maehr, D. S., R. C. Belden, E. D. Land, and L. Wilkins. 1990. Food habits of panthers in southwest Florida. J. Wildl. Mgmt. 54:420-423",Puma_concolor,Rodentia,Sigmodon_hispidus,0.4,4,-3.6,1.15,Only frequency of occurrence recorded.,1,Yes
141,"Maehr, D. S., R. C. Belden, E. D. Land, and L. Wilkins. 1990. Food habits of panthers in southwest Florida. J. Wildl. Mgmt. 54:420-423 Puma_concolor Sus_scrofa","Maehr, D. S., R. C. Belden, E. D. Land, and L. Wilkins. 1990. Food habits of panthers in southwest Florida. J. Wildl. Mgmt. 54:420-423",Puma_concolor,Cetartiodactyla,Sus_scrofa,42,250.4,-208.4,123.4,Only frequency of occurrence recorded.,42,Yes
142,"Marino, J., Mitchell, R., & Johnson, P. J. (2010). Dietary specialization and climatic?linked variations in extant populations of Ethiopian wolves.·African journal of ecology,·48(2), 517-525. Canis_simensis Dendromus_lovati","Marino, J., Mitchell, R., & Johnson, P. J. (2010). Dietary specialization and climatic?linked variations in extant populations of Ethiopian wolves.·African journal of ecology,·48(2), 517-525.",Canis_simensis,Rodentia,Dendromus_lovati,18.4,25.1,-6.7,18.4,CarniDIET is correct.,,
143,"Marino, J., Mitchell, R., & Johnson, P. J. (2010). Dietary specialization and climatic?linked variations in extant populations of Ethiopian wolves.·African journal of ecology,·48(2), 517-525. Canis_simensis Otomys_typus","Marino, J., Mitchell, R., & Johnson, P. J. (2010). Dietary specialization and climatic?linked variations in extant populations of Ethiopian wolves.·African journal of ecology,·48(2), 517-525.",Canis_simensis,Rodentia,Otomys_typus,272.2,364.7,-92.5,272.2,CarniDIET is correct.,,
144,"Marino, J., Mitchell, R., & Johnson, P. J. (2010). Dietary specialization and climatic?linked variations in extant populations of Ethiopian wolves.·African journal of ecology,·48(2), 517-525. Canis_simensis Praomys_albipes","Marino, J., Mitchell, R., & Johnson, P. J. (2010). Dietary specialization and climatic?linked variations in extant populations of Ethiopian wolves.·African journal of ecology,·48(2), 517-525.",Canis_simensis,Rodentia,Praomys_albipes,23.3,34,-10.7,23.3,CarniDIET is correct.,,
145,"Marino, J., Mitchell, R., & Johnson, P. J. (2010). Dietary specialization and climatic?linked variations in extant populations of Ethiopian wolves.·African journal of ecology,·48(2), 517-525. Canis_simensis Stenocephalemys_albocaudata","Marino, J., Mitchell, R., & Johnson, P. J. (2010). Dietary specialization and climatic?linked variations in extant populations of Ethiopian wolves.·African journal of ecology,·48(2), 517-525.",Canis_simensis,Rodentia,Stenocephalemys_albocaudata,28.8,38.2,-9.4,28.8,CarniDIET is correct.,,
146,"Marino, J., Mitchell, R., & Johnson, P. J. (2010). Dietary specialization and climatic?linked variations in extant populations of Ethiopian wolves.·African journal of ecology,·48(2), 517-525. Canis_simensis Stenocephalemys_griseicauda","Marino, J., Mitchell, R., & Johnson, P. J. (2010). Dietary specialization and climatic?linked variations in extant populations of Ethiopian wolves.·African journal of ecology,·48(2), 517-525.",Canis_simensis,Rodentia,Stenocephalemys_griseicauda,21.8,29.8,-8,21.8,CarniDIET is correct.,,
147,"Marino, J., Mitchell, R., & Johnson, P. J. (2010). Dietary specialization and climatic?linked variations in extant populations of Ethiopian wolves.·African journal of ecology,·48(2), 517-525. Canis_simensis Tachyoryctes_splendens","Marino, J., Mitchell, R., & Johnson, P. J. (2010). Dietary specialization and climatic?linked variations in extant populations of Ethiopian wolves.·African journal of ecology,·48(2), 517-525.",Canis_simensis,Rodentia,Tachyoryctes_splendens,53.5,72.6,-19.1,53.5,CarniDIET is correct.,,
148,"Melero, Yolanda, et al. ""Feeding habits of three sympatric mammals in NE Spain: the American mink, the spotted genet, and the Eurasian otter.""·Acta Theriologica·53.3 (2008): 263-273. Genetta_genetta Apodemus_sylvaticus","Melero, Yolanda, et al. ""Feeding habits of three sympatric mammals in NE Spain: the American mink, the spotted genet, and the Eurasian otter.""·Acta Theriologica·53.3 (2008): 263-273.",Genetta_genetta,Rodentia,Apodemus_sylvaticus,17,NA,NA,,,,
149,"Melero, Yolanda, et al. ""Feeding habits of three sympatric mammals in NE Spain: the American mink, the spotted genet, and the Eurasian otter.""·Acta Theriologica·53.3 (2008): 263-273. Genetta_genetta Arvicola_sapidus","Melero, Yolanda, et al. ""Feeding habits of three sympatric mammals in NE Spain: the American mink, the spotted genet, and the Eurasian otter.""·Acta Theriologica·53.3 (2008): 263-273.",Genetta_genetta,Rodentia,Arvicola_sapidus,13.3,NA,NA,,,,
150,"Melero, Yolanda, et al. ""Feeding habits of three sympatric mammals in NE Spain: the American mink, the spotted genet, and the Eurasian otter.""·Acta Theriologica·53.3 (2008): 263-273. Genetta_genetta Crocidura_russula","Melero, Yolanda, et al. ""Feeding habits of three sympatric mammals in NE Spain: the American mink, the spotted genet, and the Eurasian otter.""·Acta Theriologica·53.3 (2008): 263-273.",Genetta_genetta,Eulipotyphla,Crocidura_russula,7.4,NA,NA,,,,
151,"Melero, Yolanda, et al. ""Feeding habits of three sympatric mammals in NE Spain: the American mink, the spotted genet, and the Eurasian otter.""·Acta Theriologica·53.3 (2008): 263-273. Genetta_genetta Mus_musculus","Melero, Yolanda, et al. ""Feeding habits of three sympatric mammals in NE Spain: the American mink, the spotted genet, and the Eurasian otter.""·Acta Theriologica·53.3 (2008): 263-273.",Genetta_genetta,Rodentia,Mus_musculus,35,NA,NA,,,,
152,"Melero, Yolanda, et al. ""Feeding habits of three sympatric mammals in NE Spain: the American mink, the spotted genet, and the Eurasian otter.""·Acta Theriologica·53.3 (2008): 263-273. Genetta_genetta Rattus_rattus","Melero, Yolanda, et al. ""Feeding habits of three sympatric mammals in NE Spain: the American mink, the spotted genet, and the Eurasian otter.""·Acta Theriologica·53.3 (2008): 263-273.",Genetta_genetta,Rodentia,Rattus_rattus,11.6,NA,NA,,,,
153,"Melero, Yolanda, et al. ""Feeding habits of three sympatric mammals in NE Spain: the American mink, the spotted genet, and the Eurasian otter.""·Acta Theriologica·53.3 (2008): 263-273. Neovison_vison Apodemus_sylvaticus","Melero, Yolanda, et al. ""Feeding habits of three sympatric mammals in NE Spain: the American mink, the spotted genet, and the Eurasian otter.""·Acta Theriologica·53.3 (2008): 263-273.",Neovison_vison,Rodentia,Apodemus_sylvaticus,9.9,1.7,8.2,9.9,CarniDIET is correct.,,
154,"Melero, Yolanda, et al. ""Feeding habits of three sympatric mammals in NE Spain: the American mink, the spotted genet, and the Eurasian otter.""·Acta Theriologica·53.3 (2008): 263-273. Neovison_vison Arvicola_sapidus","Melero, Yolanda, et al. ""Feeding habits of three sympatric mammals in NE Spain: the American mink, the spotted genet, and the Eurasian otter.""·Acta Theriologica·53.3 (2008): 263-273.",Neovison_vison,Rodentia,Arvicola_sapidus,8.3,0.8,7.5,8.3,CarniDIET is correct.,,
155,"Melero, Yolanda, et al. ""Feeding habits of three sympatric mammals in NE Spain: the American mink, the spotted genet, and the Eurasian otter.""·Acta Theriologica·53.3 (2008): 263-273. Neovison_vison Crocidura_russula","Melero, Yolanda, et al. ""Feeding habits of three sympatric mammals in NE Spain: the American mink, the spotted genet, and the Eurasian otter.""·Acta Theriologica·53.3 (2008): 263-273.",Neovison_vison,Eulipotyphla,Crocidura_russula,2.5,1.2,1.3,2.5,CarniDIET is correct.,,
156,"Melero, Yolanda, et al. ""Feeding habits of three sympatric mammals in NE Spain: the American mink, the spotted genet, and the Eurasian otter.""·Acta Theriologica·53.3 (2008): 263-273. Neovison_vison Mus_musculus","Melero, Yolanda, et al. ""Feeding habits of three sympatric mammals in NE Spain: the American mink, the spotted genet, and the Eurasian otter.""·Acta Theriologica·53.3 (2008): 263-273.",Neovison_vison,Rodentia,Mus_musculus,17.6,4.6,13,17.6,CarniDIET is correct.,,
157,"Melero, Yolanda, et al. ""Feeding habits of three sympatric mammals in NE Spain: the American mink, the spotted genet, and the Eurasian otter.""·Acta Theriologica·53.3 (2008): 263-273. Neovison_vison Rattus_rattus","Melero, Yolanda, et al. ""Feeding habits of three sympatric mammals in NE Spain: the American mink, the spotted genet, and the Eurasian otter.""·Acta Theriologica·53.3 (2008): 263-273.",Neovison_vison,Rodentia,Rattus_rattus,2.7,NA,NA,2.7,CarniDIET is correct.,,
158,"Molsher, R. L., E. J. Gifford, and J. C. McIlroy. ""Temporal, spatial and individual variation in the diet of red foxes (Vulpes vulpes) in central New South Wales.""·Wildlife Research·27.6 (2000): 593-601. Vulpes_vulpes Capra_aegagrus","Molsher, R. L., E. J. Gifford, and J. C. McIlroy. ""Temporal, spatial and individual variation in the diet of red foxes (Vulpes vulpes) in central New South Wales.""·Wildlife Research·27.6 (2000): 593-601.",Vulpes_vulpes,Cetartiodactyla,Capra_aegagrus,2.7,2.7,0,,,,
159,"Molsher, R. L., E. J. Gifford, and J. C. McIlroy. ""Temporal, spatial and individual variation in the diet of red foxes (Vulpes vulpes) in central New South Wales.""·Wildlife Research·27.6 (2000): 593-601. Vulpes_vulpes Macropus_giganteus","Molsher, R. L., E. J. Gifford, and J. C. McIlroy. ""Temporal, spatial and individual variation in the diet of red foxes (Vulpes vulpes) in central New South Wales.""·Wildlife Research·27.6 (2000): 593-601.",Vulpes_vulpes,Diprotodontia,Macropus_giganteus,54,54,0,,,,
160,"Molsher, R. L., E. J. Gifford, and J. C. McIlroy. ""Temporal, spatial and individual variation in the diet of red foxes (Vulpes vulpes) in central New South Wales.""·Wildlife Research·27.6 (2000): 593-601. Vulpes_vulpes Mus_musculus","Molsher, R. L., E. J. Gifford, and J. C. McIlroy. ""Temporal, spatial and individual variation in the diet of red foxes (Vulpes vulpes) in central New South Wales.""·Wildlife Research·27.6 (2000): 593-601.",Vulpes_vulpes,Rodentia,Mus_musculus,16.6,16.6,0,,,,
161,"Molsher, R. L., E. J. Gifford, and J. C. McIlroy. ""Temporal, spatial and individual variation in the diet of red foxes (Vulpes vulpes) in central New South Wales.""·Wildlife Research·27.6 (2000): 593-601. Vulpes_vulpes Oryctolagus_cuniculus","Molsher, R. L., E. J. Gifford, and J. C. McIlroy. ""Temporal, spatial and individual variation in the diet of red foxes (Vulpes vulpes) in central New South Wales.""·Wildlife Research·27.6 (2000): 593-601.",Vulpes_vulpes,Lagomorpha,Oryctolagus_cuniculus,53.8,53.8,0,,,,
162,"Molsher, R. L., E. J. Gifford, and J. C. McIlroy. ""Temporal, spatial and individual variation in the diet of red foxes (Vulpes vulpes) in central New South Wales.""·Wildlife Research·27.6 (2000): 593-601. Vulpes_vulpes Ovis_aries","Molsher, R. L., E. J. Gifford, and J. C. McIlroy. ""Temporal, spatial and individual variation in the diet of red foxes (Vulpes vulpes) in central New South Wales.""·Wildlife Research·27.6 (2000): 593-601.",Vulpes_vulpes,Cetartiodactyla,Ovis_aries,49.2,49.2,0,,,,
163,"Molsher, R. L., E. J. Gifford, and J. C. McIlroy. ""Temporal, spatial and individual variation in the diet of red foxes (Vulpes vulpes) in central New South Wales.""·Wildlife Research·27.6 (2000): 593-601. Vulpes_vulpes Rattus_rattus","Molsher, R. L., E. J. Gifford, and J. C. McIlroy. ""Temporal, spatial and individual variation in the diet of red foxes (Vulpes vulpes) in central New South Wales.""·Wildlife Research·27.6 (2000): 593-601.",Vulpes_vulpes,Rodentia,Rattus_rattus,3,3,0,,,,
164,"Molsher, R. L., E. J. Gifford, and J. C. McIlroy. ""Temporal, spatial and individual variation in the diet of red foxes (Vulpes vulpes) in central New South Wales.""·Wildlife Research·27.6 (2000): 593-601. Vulpes_vulpes Sus_domesticus","Molsher, R. L., E. J. Gifford, and J. C. McIlroy. ""Temporal, spatial and individual variation in the diet of red foxes (Vulpes vulpes) in central New South Wales.""·Wildlife Research·27.6 (2000): 593-601.",Vulpes_vulpes,Cetartiodactyla,Sus_domesticus,1.3,NA,NA,,,,
165,"Molsher, R. L., E. J. Gifford, and J. C. McIlroy. ""Temporal, spatial and individual variation in the diet of red foxes (Vulpes vulpes) in central New South Wales.""·Wildlife Research·27.6 (2000): 593-601. Vulpes_vulpes Trichosurus_vulpecula","Molsher, R. L., E. J. Gifford, and J. C. McIlroy. ""Temporal, spatial and individual variation in the diet of red foxes (Vulpes vulpes) in central New South Wales.""·Wildlife Research·27.6 (2000): 593-601.",Vulpes_vulpes,Diprotodontia,Trichosurus_vulpecula,2.5,2.5,0,,,,
